证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000001.SZ,8.4176,1.7203,9.0085,——,——,-15.7336,23.5307,0.9747,26.3044,12.8,13.93
000002.SZ,7.3357,0.7751,20.6702,4.7553,4.3259,-15.0619,26.4986,1.5544,20.8248,25.65,26.8
000004.SZ,-211.2445,26.6584,-1.9874,-1.7659,661.5897,-9.5052,50.855,5.022,-10.7652,30.51,27.68
000005.SZ,15.9777,4.4377,11.3207,8.1826,13.3847,-4.277,41.6203,1.4794,34.3683,2.74,2.68
000006.SZ,7.6497,1.6552,11.9737,7.1295,5.7756,-5.167,36.9481,0.747,29.7903,4.48,4.99
000007.SZ,-14.5716,69.5304,-94.0355,-35.9217,60.3943,-4.5368,42.6896,1.4313,-55.722,8.09,7.96
000008.SZ,26.3839,3.2561,4.692,4.5371,14.3553,-1.8913,45.9304,2.0498,16.1273,3.14,3.18
000009.SZ,51.2806,1.1675,5.7066,6.6245,10.43,-16.6224,35.9959,2.9067,11.4689,5.88,6.56
000011.SZ,6.0122,1.2411,25.979,10.5596,2.9745,2.3954,53.2713,1.3222,24.8862,8.31,9.07
000012.SZ,28.2476,1.4742,5.5622,5.1733,8.0762,-9.6471,43.5417,1.5205,6.3154,4.39,4.47
000014.SZ,12.0558,6.0811,14.8693,9.6581,28.8595,-5.9271,35.2715,0.8178,1.8046,7.82,8.29
000016.SZ,53.4049,0.3974,5.3535,3.8774,20.0065,-9.9497,48.6914,14.856,0.5276,8.35,7.51
000019.SZ,19.2183,0.6083,7.8546,6.0854,13.7423,-7.2041,39.9704,1.9989,3.6577,7.84,9.12
000020.SZ,425.1394,3.7709,1.8742,3.4901,65.5458,-7.2815,38.3008,0.6985,1.0741,9.07,9.04
000021.SZ,79.409,2.1217,5.2243,2.5612,27.7155,3.4666,57.8298,9.3629,3.9724,17.2,20.3
000023.SZ,27.7601,1.0298,14.7456,6.8763,11.1736,6.5102,60.3053,3.1492,7.9029,14.36,15.95
000025.SZ,67.2845,14.1019,9.0581,8.0996,20.1354,-6.9298,36.6368,0.7909,23.5795,17.76,17.74
000026.SZ,19.6993,1.1014,7.5307,7.4054,8.6215,-5.7714,41.7182,1.8215,7.1473,8.49,8.41
000027.SZ,11.7637,0.9653,5.9815,4.8007,8.4367,-3.3921,37.399,0.3102,11.604,5.38,5.49
000028.SZ,13.2777,0.3293,9.7288,6.002,6.3711,-10.8517,23.4055,0.7361,3.6245,39.95,41.28
000029.SZ,20.0884,4.3543,15.066,14.5088,10.7042,-2.2674,47.2338,——,28.6755,10.97,10.97
000030.SZ,11.9745,1.1121,12.5768,6.5098,8.1709,-7.0626,46.7642,0.9244,9.026,5.4,4.7
000031.SZ,10.3583,0.9689,11.1707,3.5664,7.3251,-8.6392,30.713,0.6578,19.4955,5.38,5.39
000032.SZ,59.255,4.5488,7.5492,5.7933,27.0069,-12.0363,42.9957,1.3803,10.4129,14.45,18.01
000034.SZ,31.6431,0.2346,15.5116,4.5229,23.8978,15.313,67.9655,11.0274,0.9577,25.13,24.82
